month,primary_type,incidents,year,month_num
2021-09-01,All Types,19299,2021,9
2021-09-01,Arson,46,2021,9
2021-09-01,Assault,2039,2021,9
2021-09-01,Battery,3830,2021,9
2021-09-01,Burglary,668,2021,9
2021-09-01,Concealed Carry License Violation,21,2021,9
2021-09-01,Criminal Damage,2298,2021,9
2021-09-01,Criminal Sexual Assault,126,2021,9
2021-09-01,Criminal Trespass,338,2021,9
2021-09-01,Deceptive Practice,1334,2021,9
2021-09-01,Gambling,1,2021,9
2021-09-01,Homicide,92,2021,9
2021-09-01,Human Trafficking,3,2021,9
2021-09-01,Interference With Public Officer,28,2021,9
2021-09-01,Intimidation,9,2021,9
2021-09-01,Kidnapping,7,2021,9
2021-09-01,Liquor Law Violation,25,2021,9
2021-09-01,Motor Vehicle Theft,1016,2021,9
2021-09-01,Narcotics,291,2021,9
2021-09-01,Obscenity,3,2021,9
2021-09-01,Offense Involving Children,166,2021,9
2021-09-01,Other Offense,1192,2021,9
2021-09-01,Prostitution,22,2021,9
2021-09-01,Public Peace Violation,76,2021,9
2021-09-01,Robbery,773,2021,9
2021-09-01,Sex Offense,108,2021,9
2021-09-01,Stalking,25,2021,9
2021-09-01,Theft,3953,2021,9
2021-09-01,Weapons Violation,809,2021,9
2021-10-01,All Types,19420,2021,10
2021-10-01,Arson,44,2021,10
2021-10-01,Assault,1873,2021,10
2021-10-01,Battery,3758,2021,10
2021-10-01,Burglary,757,2021,10
2021-10-01,Concealed Carry License Violation,20,2021,10
2021-10-01,Criminal Damage,2246,2021,10
2021-10-01,Criminal Sexual Assault,140,2021,10
2021-10-01,Criminal Trespass,327,2021,10
2021-10-01,Deceptive Practice,1282,2021,10
2021-10-01,Gambling,3,2021,10
2021-10-01,Homicide,64,2021,10
2021-10-01,Interference With Public Officer,23,2021,10
2021-10-01,Intimidation,13,2021,10
2021-10-01,Kidnapping,6,2021,10
2021-10-01,Liquor Law Violation,20,2021,10
2021-10-01,Motor Vehicle Theft,1162,2021,10
2021-10-01,Narcotics,326,2021,10
2021-10-01,Obscenity,1,2021,10
2021-10-01,Offense Involving Children,149,2021,10
2021-10-01,Other Offense,1191,2021,10
2021-10-01,Public Peace Violation,56,2021,10
2021-10-01,Robbery,837,2021,10
2021-10-01,Sex Offense,113,2021,10
2021-10-01,Stalking,43,2021,10
2021-10-01,Theft,4227,2021,10
2021-10-01,Weapons Violation,739,2021,10
2021-11-01,All Types,17487,2021,11
2021-11-01,Arson,43,2021,11
2021-11-01,Assault,1629,2021,11
2021-11-01,Battery,3101,2021,11
2021-11-01,Burglary,734,2021,11
2021-11-01,Concealed Carry License Violation,12,2021,11
2021-11-01,Criminal Damage,2087,2021,11
2021-11-01,Criminal Sexual Assault,128,2021,11
2021-11-01,Criminal Trespass,303,2021,11
2021-11-01,Deceptive Practice,1201,2021,11
2021-11-01,Gambling,1,2021,11
2021-11-01,Homicide,62,2021,11
2021-11-01,Human Trafficking,1,2021,11
2021-11-01,Interference With Public Officer,24,2021,11
2021-11-01,Intimidation,5,2021,11
2021-11-01,Kidnapping,9,2021,11
2021-11-01,Liquor Law Violation,29,2021,11
2021-11-01,Motor Vehicle Theft,1067,2021,11
2021-11-01,Narcotics,305,2021,11
2021-11-01,Obscenity,2,2021,11
2021-11-01,Offense Involving Children,170,2021,11
2021-11-01,Other Offense,1073,2021,11
2021-11-01,Prostitution,1,2021,11
2021-11-01,Public Peace Violation,43,2021,11
2021-11-01,Robbery,781,2021,11
2021-11-01,Sex Offense,100,2021,11
2021-11-01,Stalking,34,2021,11
2021-11-01,Theft,3844,2021,11
2021-11-01,Weapons Violation,698,2021,11
2021-12-01,All Types,17385,2021,12
2021-12-01,Arson,47,2021,12
2021-12-01,Assault,1595,2021,12
2021-12-01,Battery,3172,2021,12
2021-12-01,Burglary,719,2021,12
2021-12-01,Concealed Carry License Violation,3,2021,12
2021-12-01,Criminal Damage,2019,2021,12
2021-12-01,Criminal Sexual Assault,130,2021,12
2021-12-01,Criminal Trespass,278,2021,12
2021-12-01,Deceptive Practice,1217,2021,12
2021-12-01,Homicide,54,2021,12
